id,title,alternative_title,country_code,publisher_name,publication_fee,submission_fee,language,license,keywords,added_date,last_updated,publication_time_weeks,plagiarism_detection,oa_start_year,apc_amount,print_issn,electronic_issn,website,subjects,country_name,continent,in_doaj,seal
00023bea7c1444e9aa224df27beff895,Medical Laboratory Journal,,,Golestan University of Medical Sciences,,,EN,CC BY-NC,"medical laboratory, clinical pathology, parasitology, hematology, microbiology, virology",2021-06-25T09:58:25Z,2024-11-28T15:36:07Z,4,True,2007,,,,,Medicine,No especificado,No especificado,True,False
00087d1be705481c92efc11a6dc42b80,Computational and Experimental Research in Materials and Renewable Energy,CERiMRE,,"Physics Department, Faculty of Mathematics and Natural Sciences University of Jember",,,EN,CC BY-SA,"renewable energy, nuclear materials, thermoelectric materials, ptoelectronics materials",2022-04-18T05:11:41Z,2024-11-28T15:35:37Z,10,True,2018,,,,,Renewable energy sources,No especificado,No especificado,True,False
0009e6372a9848578dfd8574750aa680,"Global justice: Theory, Practice, Rhetoric",,,Global Justice Network,,,EN,Publisher's own license,"political theory, justice, injustice, poverty, human rights",2017-09-29T07:49:02Z,2024-11-28T15:33:46Z,26,False,2008,,,,,Political science (General),No especificado,No especificado,True,False
000c7f26fdd042548a40a9c6e58d7006,Revista de Psicología,,,Universidad de Chile,,,ES,CC BY,"psychology, psychometry, neurosciences, psychosocial research methodologies",2019-02-03T19:45:59Z,2024-11-28T15:35:11Z,12,False,1990,,,,,Psychology,No especificado,No especificado,True,False
000e412540f3439ea5c661e38986710a,"Jurnal Pendidikan: Teori, Penelitian, dan Pengembangan",,,Pascasarjana Universitas Negeri Malang,,,"ID, EN",CC BY-SA,"education, theory, development",2017-04-13T16:53:44Z,2024-11-28T15:38:06Z,4,True,2016,,,,,"Education, Education (General)",No especificado,No especificado,True,False
0015f773fbe9470fbba1d308ed6acc1f,Communications Engineering,,,Nature Portfolio,,,EN,CC BY,engineering,2022-10-07T14:05:56Z,2024-11-28T15:34:58Z,27,True,2022,,,,,Engineering (General). Civil engineering (General),No especificado,No especificado,True,False
00213ce79d434a95a6ef1153753aeec5,Античный мир и археология,Ancient World and Archeology,,Saratov State University,,,"RU, EN",CC BY,"archaeology, ancient history",2023-06-17T17:16:58Z,2024-11-28T15:35:42Z,20,True,2009,,,,,Archaeology,No especificado,No especificado,True,True
0027869f93784a75b4c57b7e849b2a4f,Studia Iuridica Lublinensia,,,Maria Curie-Skłodowska University,,,EN,CC BY,"law, public administration, political science",2021-12-16T09:12:37Z,2024-11-28T15:35:57Z,24,True,2013,,,,,"Law, Political institutions and public administration (General)",No especificado,No especificado,True,False
002b39d0fc5245978314b6fd9011448a,PNAS Nexus,,,Oxford University Press,,,EN,"CC BY, CC BY-NC","biological sciences, medical sciences, health sciences, physical sciences, social sciences, political science",2022-07-14T14:26:02Z,2024-11-28T15:38:22Z,17,True,2022,,,,,"Science, Social Sciences",No especificado,No especificado,True,False
00395b9cfa7447afa272ef3010483bbe,Revista Adm.Made,,,MADE - Mestrado em Administração e Desenvolvimento Empresarial,,,"EN, PT, ES",CC BY,"administration, management, business administration",2016-10-23T11:25:24Z,2025-02-17T13:53:36Z,18,False,2000,,,,,Business,No especificado,No especificado,True,False
